identifier,T-statistics,pvalue,mean_group1,mean_group2,std(group1),std(group2),log2FC,test,correction,padj,rejected,group1,group2,FC,-log10 pvalue,Method
sp|P75829|YBJX_ECOLI,3.332145572353006,0.015764641112885825,27.616751396573314,27.179633502545578,0.13720023935972767,0.18111414613396443,0.43711789402773604,t-Test,FDR correction BH,0.4603918659701962,False,0,1,1.3538969121620286,1.8023159116567953,Unpaired t-test
sp|P0A9I1|CITE_ECOLI,3.145136504694645,0.019937418360683357,28.21124481895962,27.028541629644437,0.5284248406326851,0.380775233610589,1.182703189315184,t-Test,FDR correction BH,0.49280674148249076,False,0,1,2.270017137701555,1.70033107793491,Unpaired t-test
sp|P04079|GUAA_ECOLI,2.947090156421001,0.025709866384379144,29.04602774744107,28.735492878381635,0.11911863669614933,0.1382724001605419,0.3105348690594347,t-Test,FDR correction BH,0.5081867647013105,False,0,1,1.2401673980762937,1.5899001804041104,Unpaired t-test
sp|P39406|RSMC_ECOLI,2.911848882210527,0.02691549866893865,27.384857417181813,26.076198614551,0.2764193898847698,0.7276962613590076,1.3086588026308128,t-Test,FDR correction BH,0.516263126380408,False,0,1,2.477111489433606,1.5699975695112274,Unpaired t-test
sp|P05020|PYRC_ECOLI,2.899559443591312,0.027350188512266185,27.922996383093754,27.493435792208306,0.13834328273075075,0.2161101604519724,0.4295605908854476,t-Test,FDR correction BH,0.516263126380408,False,0,1,1.346823305426994,1.5630396759281802,Unpaired t-test
sp|P05637|APAH_ECOLI,2.872234420519333,0.028344108520146235,26.621087497037696,26.051490552100052,0.26157669767625547,0.22262055912749848,0.5695969449376435,t-Test,FDR correction BH,0.5193796055402975,False,0,1,1.4841088875883282,1.5475371979028476,Unpaired t-test
sp|P25397|TEHB_ECOLI,2.8549774495286773,0.02899184142313977,27.675540736308395,26.963820565832272,0.22107159155202014,0.37089803544399114,0.7117201704761236,t-Test,FDR correction BH,0.5193796055402975,False,0,1,1.6377557008265793,1.5377241994600863,Unpaired t-test
sp|P24232|HMP_ECOLI,2.825770337089235,0.030124743018759392,27.157449045426326,26.254929982472873,0.5359287241229919,0.13714150645278195,0.9025190629534521,t-Test,FDR correction BH,0.5193796055402975,False,0,1,1.8693271324352194,1.5210766491809184,Unpaired t-test
sp|P08178|PUR5_ECOLI,2.5851195054690725,0.04148302893059256,26.8885095648832,26.36911484344904,0.19770274539017652,0.28638552871867984,0.5193947214341605,t-Test,FDR correction BH,0.564777562872262,False,0,1,1.433353762389624,1.3821295406191396,Unpaired t-test
sp|P69829|PTSN_ECOLI,2.533930671632375,0.044443313441221585,26.936223073567284,26.231021939917852,0.08250581257269847,0.47492197549103915,0.7052011336494317,t-Test,FDR correction BH,0.5648537453616931,False,0,1,1.6303719476285927,1.3521935699923056,Unpaired t-test
sp|P0ADS9|YGGN_ECOLI,2.4925271158887434,0.04700115179739775,27.320655999184314,27.032276745572794,0.10119539881477391,0.17296604570132093,0.28837925361152017,t-Test,FDR correction BH,0.5799403989249318,False,0,1,1.2212675155348531,1.327891499231837,Unpaired t-test
